site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,reason
Gua Dudumunir Posisi Gua Dudumunir,,,,,data/google-drive-pdfs/149-164.pdf,5,"Naditira Widya Vol. 17 No.2 Oktober-Balai Arkeologi Provinsi Kalimantan Selatan p-ISSN: 1410-0932; e-ISSN: 2548-4125 153 HASIL DAN PEMBAHASAN Kondisi Gua Dudumunir Posisi Gua Dudumunir berada di pinggir laut di Pulau Arguni, yang secara administrative terletak di Kampung Arguni, Distrik Kokas, di Kabupaten Fakfak. Kabupaten Fakfak terletak di Provinsi Papua Barat, yaitu antara koordinat 2°25’--4°00’ L",repeated_words
Gua Dudumunir Gua Dudumunir,,,,,data/google-drive-pdfs/149-164.pdf,14,"dilakukan. Dengan demikian, belum dapat diketahui sejak kapan adanya aktivitas yang pernah berlangsung pada situs Gua Dudumunir, baik itu aktivitas hunian maupun aktivitas penguburan. Karakteristik Hunian Prsaejarah di Gua Dudumunir Gua Dudumunir sangat strategis dan potensial menyediakan data tentang gua yang digunakan sebagai tempat tinggal dan tempat melakukan aktivitas lainnya. Hal ini dapat dilihat dari posisi gua yang berada dekat dengan pantai yang bisa d",repeated_words
Gua Penguburan Penguburan,,,,,data/google-drive-pdfs/1683-Article Text-6076-1-10-20220825.pdf,11,"ntuk bergerak lebih mudah;c. tersedianya sumber makanan baik flora dan fauna; d. faktor -faktor yang memberikan elemen -elemen tambahan akan binatang laut atau binatang air (dekat pantai, danau, sungai, mata air). 3.3.2 Gua Penguburan Penguburan merupakan salah satu k egiatan sosial manusia dalam rangka memindahkan mayat dari lingkungan orang yang masih hidup. Kegiatan ini dilakukan secara berpola sesuai dengan pranata tertentu yang disepakati setiap kelompok a",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/1969SSulawesiExped.pdf,4,"e Bantimurung waterfall, had been admired by visitors since, at least, the middle of the 18th century;6 a century later, Alfred Russel Wallace rhapsodised over its wealth of butterflies. The Sarasins too had visited the Leang Leang valley, but did not notice the cave deposits. The following year, 1937, saw major campaigns. Van Heekeren continued digging in the Maros karst sites and, under Callenfels’s overall direction, two cave sites further nort",repeated_words
Gua Yanglebi Situs Yanglebi,,,,,data/google-drive-pdfs/7. Jurnal Papua Vol 4 No 2 Nov 2012.pdf,19,Klementin Fairyo Tradisi Penguburan dalam Gua dan Ceruk pada Masyarakat Web 87 Papua TH. IV NO. 2 / November 2012 Gua Yanglebi Situs Yanglebi berada kurang lebih 100 m dari Situs Jigiyaw. Situs ini merupakan tebing karang yang didalamnya terbentuk ceruk dan gua. Letak situs ini berada di depan pos Yonif 141 Yuruf. Dilihat dari keadaan topografinya situs Yangl,repeated_words
Lhoong Pigip Cave Lhoong Pigip Cave,,,,,data/google-drive-pdfs/AcehCaves.pdf,13,"Cave Settlement Potential of Caves and Rock Shelters in Aceh Besar Regency 35 (Taufiqurrahman Setiawan) Lhoong Pigip Cave Lhoong Pigip Cave is a cave located in Meunasah Krueng Village, Lhoong Sub-district. This cave is located at 5.283418 0 North Latitude and 95.246025 0 East Longitude (UTM 46N 748934.68 Mt 584442.49 Mu). This cave is on the middle slope o",repeated_words
Site A Site,,,,,data/google-drive-pdfs/AmazonBay_Mailu_Papua.pdf,143,120 Site A Site B Difference Attribute 1 50 0 50 It 2 30 20 10 ft 3 20 50 30 If 4 0 30 30 1 ? 5 0 0 0 1QQ% 100% 12Q 200 - 120 = 80_ (Robinson index) Fig. 5.2 Calculation of the Robinson coefficient The above account applies to an analy,repeated_words
Site Province Site,,,,,"data/google-drive-pdfs/Asian Paleoanthropology From Africa to China and Beyond (Christopher J. Norton, David R. Braun (auth.) etc.) (z-lib.org).pdf",174,"rom Central-East China. Huanglongdong falls outside the range of this review, but is a good representative example of an ongoing multi-disciplinary research project conducted primarily by Chinese researchers # on Fig. 1 Site Province Site context Relative age Chronometric age Dating method Hominin fossils Early paleolithic artifacts Fauna Existing questions Reference 1 Renzidong Anhui Cave/Fissure Early Pleistocene 2.4–2.0 Ma or 1.7–0.8 Ma Biostratigraph",repeated_words
Liang Sara III Menuju Liang Sara I,,,,,data/google-drive-pdfs/Borneo_Menyingkap_gua_prasejarah.pdf,77,"ng dan Gua Tewet. q Vulva yang diukirkan di antara tiga buah dada bercat oker.TEBING Denah eksplorasi, skala perkiraan Ukiran rusa Tangan dilapisi kalsit Gerombolan keraVulva Tangan di stalaktit Tangan “ bertato” Menuju Liang Sara III Menuju Liang Sara I Gambar2 di plafon 75",repeated_words
Gua Harto GUA HARTO,,,,,data/google-drive-pdfs/Borneo_Menyingkap_gua_prasejarah.pdf,151,"ang dengan kaki. Sementara itu, siluet tubuh binatang lebih mirip babi hutan… Tampaknya kami berhadapan dengan binatang mitologis. s Di muka, dugaan rekonstruksi bagian luntur di kepala mamalia. Do ngeng Adi-sat wa dari Gua Harto GUA HARTO | ADISATWA DALAM WACANA SAMANISME? 149",repeated_words
Gua Jing Gua Jing,,,,,data/google-drive-pdfs/Broken painting in the prehistoric cave and.pdf,4,"2047 3 /;#23#23#23 /;#23#23#23 analysis was also carried out in the form of absorption and color reactions to find out whether the color came from blood or not. 3. Discussion 3.1 Prehistoric Cave in Maros Regency. 3.1.1 Gua Jing Gua Jing is located 04O 59 '27.2 ""LS and 119O 38' 58.3"" BT with a height of 48 meters above sea level. Located ± 12 m east of Balang Cave. Indeed, this cave is on a vertical cliff wall with a height of ± 8 m above the foot of th",repeated_words
Leang Leang Prehistoric Park,,,,,data/google-drive-pdfs/Broken painting in the prehistoric cave and.pdf,6,"032047 IOP Publishing doi:10.1088/1742-6596/1341/3/032047 5 /;#23#23#23 /;#23#23#23 Administratively Lambatorang Cave is located in Borongpao Village, Bungaeja Village, Bantimurung District. Located to the north of the Leang Leang Prehistoric Park with a distance of ± 1.3 km. Affordability of the location is easily reached by using a two-wheeled vehicle via a road that passes in front of Leang Leang Prehistoric Park and turns east into the path towards the Lambat",repeated_words
Liang Lemdubu Liang Lemdubu,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,224,"The End of the Movius Line Chapter 9 9.7.5 Liang Lemdubu Liang Lemdubu is a limestone solution cave on the island of Pulau Kobroor, in the Am Islands of eastern Indonesia (O'Connor el al. 2002a, 2005a; Veth el al. 1998a, c; Figure 9.1). Two excavations were carried out at the cave in 1996",repeated_words
Liang Bua Cave. The,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,434,"Western Flores Soa Basin Liang Bug Sectors V^hamber ^^ 1 B \chamber Limestone Conglomerate cliff 10 20 m Figure 9.2. Map of western Flores showing the location of Liang Bua Cave. The main plan view shows the floor plan of Liang Bua and the location of 2001-2004 excavation Sectors L ML IV, VII and XL The broken line at the cave entrance represents the dripline. A conglomerate deposit (shaded dark gre",likely_concatenated
Liang Bua Cave. The Wae Racang River,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,435,"Figure 9.3. Liang Bua Cave, 2004 excavations. I, - id--' • ^ it • • • '4 Figure 9.4. Wae Racang River valley, western Flores, looking northeast from near the entrance to Liang Bua Cave. The Wae Racang River is not visible here, but runs in between the rice paddy fields and the small limestone hill in the foreground of the photograph.",likely_concatenated
Liang Bua Cave. Layers,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,436,"PH s«dw»fmfv log Layw Figure 9.5. Stratigraphic profile for the Sector III excavations, Liang Bua Cave. Layers 1-2 are horizontally deposited clays and clayey silts. Layer 3 is a clay containing abundant rockfall, limestone fragments and flowstone. Layers 4-5 are clays with small lenses of black volcanic sand. Layer 6 is a fine",likely_concatenated
Liang Bua Cave. Layers,,,,,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,437,"TTvmr S*RW I Location of former ctiannof I Location of fonner standing body of water Figure 9.6. Stratigraphic profile for the Sector IV excavations, Liang Bua Cave. Layers 1-2 are silty clays and clayey silts. Layer 3 is a 30 cm thick deposit of fluvial boulders and roof fall in a silty clay matrix. Layer 4 is a clayey silt with a thick layer of fire-reddened clay containing charcoal frag",likely_concatenated
Gua Liang Batu Ukir The Gua Liang,,,,,data/google-drive-pdfs/BukitBangkai_Mesolithic.pdf,2,"or is higher than the surrounding land, even above the cave space of Ceruk 12. This allows to avoid being attacked by wild animals and puddles, so it is suitable to be inhabited for a long time [3]. c) Morphology of the Gua Liang Batu Ukir The Gua Liang Batu Uki ris located on a karts hill in the form of a blunt tower located on the east side of Bukit Bangkai, about 300 m away. On the Bukit Batu Ukir there is the Gua Liang Batu Ukirin the form of shallow niches. The Gu",repeated_words
Gua Liang Jago Gua Liang Jago,,,,,data/google-drive-pdfs/BukitBangkai_Mesolithic.pdf,3,"rest. This allows the cave to be inhabited for a long time, because of the abundant availability of water and food resources in the form of huntings animals and herbs in swamp forest areas [3], [5]. e) Morphology of the Gua Liang Jago Gua Liang Jago is located at the foot of Bukit Jago in the form of a hill in the form of a blunt karst tower morphology and the Bukit Jago site located no rth of Bukit Bangkai, about 200 m away. Between Bukit Jago and Bukit Bangkai in",repeated_words
Leang Buida Leang Buida,,,,,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,5,"we summarise the excavation results from Leang Buida and Bukit Tiwing, and discuss the possible development of their marine and terrestrial resource use and also inter-island networks during AD 1000–1800. Excavation of Leang Buida Leang Buida site is a limestone cave (leang) site along the western coast of Kabaruan Island (Figure 15.2). The cave mouth is about 8 m in length and 4 m in height, and the length of the inner area expands to about 10 m to form a t",repeated_words
Leang Sarru Rock Shelter Leang Sarru,,,,,"data/google-drive-pdfs/Emergence and Diversity of Modern Human Behavior in Paleolithic Asia (Yousuke Kaifu, Masami Izuho, Ted Goebel etc.) (z-lib.org).pdf",216,ssemblage from the Leang Sarru site in Talaud Islands and discusses maritime migration by early modern humans to the remote islands as well as temporal changes in lithic technology on an island eco - system in Wallacea. Leang Sarru Rock Shelter Leang Sarru is a small limestone rock shelter located about 400 m from the eastern coast of Salebabu Island of the Talaud group in northeastern Indonesia (figure 14.2). The Talaud Islands form a subgroup of the Sangihe and Talaud c,repeated_words
Gua Sosoraweru Gua Sosoraweru,,,,,data/google-drive-pdfs/Fakfak_Papua_Sosoraweru.pdf,6,"ang ada berupa cap tangan, bintang laut, manusia, bentuk geometris, topeng dan ikan. Lukisan berwarna merah dan kuning (Sukandar, 2012 : 15-16). Gambar 7. Tebing Fotamramo (dokumentasi Balai Arkeologi Jayapura) 3. Situs Gua Sosoraweru Gua Sosoraweru secara administratif terletak di Kampung Forir, Distrik Kokas, Kabupaten Fakfak. Letak gua berada di bagian timur Kampung Forir dengan koordinat 132 o37.796’ Bujur Timur dan 02o43.448’ Lintang Selatan. Untuk mencapai gu",repeated_words
Liang Bua Cave. This Flores,,,,,data/google-drive-pdfs/First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf,48,"inds have come to light in Java, especially from another locality called Sangiran, and most recently from the island of Flores in Nusa Tenggara, where the year 2004 saw the publication of the tiny Homo floresiensis from Liang Bua Cave. This Flores discovery , together with the much older stone tools and small hominin remains published in 2016 from the Soa basin on Flores, has highlighted a surprisingly early hominin capacity to cross sea gaps more than 1 million",likely_concatenated
Liang Bua Cave. However,,,,,data/google-drive-pdfs/First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf,76,"o ours. The Homo floresiensis Controversy When the species was announced it was reported to have survived until about 13 kya (Roberts et al. 2009), but the new dating discussed above places it b etween 100 and 60 kya in Liang Bua Cave. However, the original claim that a new and very archaic‐looking hominin lived at the same time as modern humans in Indonesia offered quite a challenge to the prevailing paradigm in human e volution. Human evolutionary studies o",likely_concatenated
Leang Burung Leang Sakapao,,,,,data/google-drive-pdfs/First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf,147,"an backed tools and Maros points (Bulbeck 2004) Sumatran Hoabinhian middens and open sites Spirit Cave Gua Bintong Gua Bintong Kota TongkatKota Tongkat Seberang Perak Tingkayu, Madai, Hagop Bilo (Sabah) Leang Timpuseng, Leang Burung Leang Sakapao, Ulu Leang Leang Timpuseng, Leang Burung Leang Sakapao, Ulu Leang Paso Siti NafisahSiti Nafisah Uai BoboUai Bobo PHILIPPINES Tiangko PanjangTiangko Panjang 01 000 km at equator PACIFIC OCEAN SOUTH CHINA SEA INDIAN OCEAN",repeated_words
Leang Leang Timpuseng,,,,,data/google-drive-pdfs/First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf,147,"(Bulbeck 2004) Sumatran Hoabinhian middens and open sites Spirit Cave Gua Bintong Gua Bintong Kota TongkatKota Tongkat Seberang Perak Tingkayu, Madai, Hagop Bilo (Sabah) Leang Timpuseng, Leang Burung Leang Sakapao, Ulu Leang Leang Timpuseng, Leang Burung Leang Sakapao, Ulu Leang Paso Siti NafisahSiti Nafisah Uai BoboUai Bobo PHILIPPINES Tiangko PanjangTiangko Panjang 01 000 km at equator PACIFIC OCEAN SOUTH CHINA SEA INDIAN OCEAN Balobok (Sulu) Togi Ndrawa",repeated_words
Gua Uhalie Pada Gua Uhalie,,,,,data/google-drive-pdfs/Gua Uhalie_Sulawesi_cave art.pdf,11,hat hubungan asosiasinya terhadap lukisan di panel lainnya maka teridentifikasi: tidak teridentifikasi memaknakan “target sebagai hewan buruan dan hewan buruan yang tertangkap. 3. Struktur Dalam (Deep structure) Lukisan Gua Uhalie Pada Gua Uhalie struktur luar ditemukan melalui analisis sintagmatis dan paradigmatis yang menjelaskan bahwa makna lukisan Gua Uhalie adalah hubungan tingkahlaku antara manusia dan binatang. Makna tersebut diwujudkan melalui panel 1 hi,repeated_words
Gua Mabitce Gua Mabitce,,,,,data/google-drive-pdfs/GuaMabitce_Hoabinh_Sumatra.pdf,3,"setiap lapisan. Pola tersebut diharapkan dapat menjawab permasalahan karakter budaya hunian di Gua Mabitce dan posisinya dalam konteks Sumatra bagian utara. 3. Hasil Penelitian dan Pembahasan 3.1 Temuan Hasil Ekskavasi Gua Mabitce Gua Mabitce merupakan sebuah gua yang berada pada wilayah Kars Leupung. Secara administratif, Gua Mabitce masuk dalam wilayah Gampong Deah Mamplam, Kecamatan Leupung, Kabupaten Aceh Besar yang terletak",repeated_words
Gua Pawon Gua Pawon,,,,,data/google-drive-pdfs/HomininDiversity_WestIndonesia.pdf,97,"it which produce some k arstic cavities, such as Gua Pawon in the Gunung Pawon near Gunung Masigit. Fig. 2. B.11. Geological map of Rajamandala ridge and pawon cave (Maryanto 2009; Sudjatmiko 2003). General condition of Gua Pawon Gua Pawon or Pawon cave is located in Gunung Masigit village, Cipatat District, Bandung Regency, West Java and around 25 Km far to the west of Bandung cit y. Geologically, this site is located on the western part of the Gunung Ma",repeated_words
Gua Braholo Braholo Cave,,,,,data/google-drive-pdfs/HomininDiversity_WestIndonesia.pdf,118,"89 2. GUA BRAHOLO General condition of Gua Braholo Braholo Cave is the richest prehistoric site in the western part of the Gunungsewu karst region, around 35 km far from other prehistoric sites of Punung (which most of them in the eastern part of Gunungsewu). Gua Braholo located Sem",repeated_words
Leang Alle Bireng Maros Leang Ambe,,,,,data/google-drive-pdfs/Laporan_Karst_Lengkap1.pdf,50,43 Tabel 8. Nama – nama gua yang terdapat di Kabupaten Maros dan Pangkep No. Nama Gua Kabupaten 1 Leang Alle Bireng Maros Leang Ambe pacco Maros Leang Balang Maros Leang Bara Jarang Maros Leang Bara Tedong 1 Maros Leang Baratedong Maros Leang Barugaya Maros Leang Batabase Maros Leang Batu Karope Maros Leang Batu Tianang Maros Leang Bembe Maros Leang,repeated_words
Leang Bembe Maros Leang Bettue,,,,,data/google-drive-pdfs/Laporan_Karst_Lengkap1.pdf,50,Bireng Maros Leang Ambe pacco Maros Leang Balang Maros Leang Bara Jarang Maros Leang Bara Tedong 1 Maros Leang Baratedong Maros Leang Barugaya Maros Leang Batabase Maros Leang Batu Karope Maros Leang Batu Tianang Maros Leang Bembe Maros Leang Bettue (lopi-lopi) Maros Leang Bettue (Tompobalang) Maros Leang Boddong Maros Leang Botto Maros Leang Bulu Batue Maros Leang Bulu kamase Maros Leang Bulu Sipong 1 Maros Leang Bulu Sipong 2 Maros Leang Bulu Sipong 3 Maros Leang,repeated_words
Leang Pangia Maros Leang Panampu,,,,,data/google-drive-pdfs/Laporan_Karst_Lengkap1.pdf,51,44 Leang Karrasa Maros Leang Lambatorang Maros Leang Lompoa Maros Leang Mandauseng Maros Leang Monroe Maros Leang Pabbuno Juku Maros Leang Paccepacce Maros Leang Pajae Maros Leang Pa’limukang Maros Leang Pangia Maros Leang Panampu 1 Maros Leang Panampu 2 Maros Leang Pasaung Maros Leang Pattae Maros Leang Pellenge Maros Leang Petta Kere Maros Leang Pucu Maros Leang Samongkeng 1 Maros Leang Samongkeng 2 Maros Leang Samongkeng 3 Maros Leang Samongke,repeated_words
Leang Ulu Leang Maros Leang Ulu Wae,,,,,data/google-drive-pdfs/Laporan_Karst_Lengkap1.pdf,51,aros Leang Samongkeng 3 Maros Leang Samongkeng 4 Maros Leang Sampeang Maros Leang Saripa Maros Leang Sengkae Maros Leang Tampuang Maros Leang Tanre Maros Leang Tengngae Maros Leang Timpuseng Maros Leang Tinggi Ada Maros Leang Ulu Leang Maros Leang Ulu Wae Maros Leang Wanuwae Maros Leang Alla Masigi Pangkep Leang Barayya Pangkep Leang Batanglamara Pangkep Leang Batta-Battae Pangkep,repeated_words
Leang Jarie Situs Leang Jarie,,,,,data/google-drive-pdfs/LeangJarie_Maros_Toalean.pdf,5,"terlihat pada sisinya (flake scars to core) untuk dikomparasi dengan kecenderungan panjang serpih utuh dan panjang setiap tipe alat serpih. 3. Hasil Penelitian dan Pembahasan 3.1 Stratigrafi dan Lapisan Budaya di Situs Leang Jarie Situs Leang Jarie adalah salah situs gua yang terletak di bagian tenggara kawasan karts Maros-Pangkep, tepatnya berada di Dusun Tadeang, Kelurahan Samanggi, Kecamatan Simbang, Kabupaten Maros, Sulawesi Selatan. Secara astronomis situs te",repeated_words
Leang Prehistoric Park,,,,,data/google-drive-pdfs/LeangRakkoe_Maros_Tolean.pdf,3,"this region. Site Description 1. Location and Current Use Leang Rakkoe ('dry cave' in the local Bugis language) is a rockshelter located in the densely vegetated Bomboro valley approximately 2.5 km north of the Leang - Leang Prehistoric Park ( Taman Prasejarah Leang-Leang), in the Maros -Pangkep tower karst region of South Sulawesi (Figure 1 ). Today a narrow walking path leads into the valley, through the rockshelter, and along the edge of the base of the",descriptive_phrase
Site Description The Padalin Caves,,,,,"data/google-drive-pdfs/Painted Sites, Sacred Sites_NHT.pdf",140,"ountainous region. Considered the foothills of the Himala- yas, the Shan Highlands stretch across this region from north to south, straddling China and Thailand and averaging around 1,000 metres above sea level. 7 .3 .2 Site Description The Padalin Caves are located at the very west of Shan state, in the Taunggyi district at the foothills of the Shan plateau. The caves are associated with myin k at mountain, located at a spur of the Nwalabo mountains, at an elevation of",descriptive_phrase
Gua Balang Balang Metti,,,,,data/google-drive-pdfs/Pattuku_BalangMettiCave_Sulawesi.pdf,2,90 | Identifikasi Rangka Manusia Situs Gua Balang Balang Metti……Fakhri Gua-gua hunian yang disurvei pada tahun 2014 sampai 2015 memperlihatkan banyaknya potensi gua hunian yang memiliki tinggalan berupa artefak batu dan sampah dapur berupa tumpukan kulit kerang di permukaan mulut g,repeated_words
